1,如何申請加入學生會？,學生會辦公室,2023年10月20日,150
2,如何選擇適合我的課程？,學業諮詢中心,2023年10月12日,200
3,學期中有哪些有趣的校園活動？,學生活動部門,2023年10月4日,100
4,圖書館的開放時間和借書規則是什麼？,圖書館服務台,2023年10月13日,300
5,如何處理學業壓力？,心理諮詢中心,2023年9月23日,250
6,宿舍報修流程是什麼？,宿舍管理辦公室,2023年10月12日,180
7,哪裡可以使用學校的運動設施？,體育中心,2023年10月3日,220
8,如何申請學生貸款？,財務援助辦公室,2023年10月16日,280
9,國際學生服務中心提供哪些支援？,國際學生服務中心,2023年10月17日,150
10,有沒有免費的語言課程？,語言學習中心,2023年9月28日,200
11,學校的學術誠信政策是什麼？,學術誠信辦公室,2023年10月3日,130
12,如何預約心理輔導服務？,輔導中心,2023年10月21日,170
13,學校的安全措施和緊急聯絡人是誰？,安全辦公室,2023年10月27日,240
14,我如何參加校內社團？,學生社團辦公室,2023年10月1日,190
15,校園內的食堂和餐廳有哪些選擇？,學生餐飲服務,2023年10月21日,210
16,哪裡可以找到額外的學術支援資源？,學習支援中心,2023年10月10日,260
17,如何參加校園導覽活動？,導覽服務辦公室,2023年9月18日,140
18,學校有哪些環保倡議和計劃？,環保辦公室,2023年9月23日,230
19,如何查詢期末考試的日期和地點？,考試辦公室,2023年10月23日,160
20,如何申請學校提供的獎學金？,獎學金辦公室,2023年9月23日,270
